Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
657c72f7bc2e07b9e91c98f6,62d5c169b25535bc60fd5248,APPROVED,2023-12-15T15:38:48.416000Z,2023-12-15T16:33:21.933000Z,2023-12-15T16:33:24.029000Z,2023-12-15T16:33:22.363649Z,3274.0,10ZZ93XE,1370,English,56,Female,White,United States,United States,United States,English,No,Full-Time
657c742e7b61f94757434973,6508b862b3c2f64f1af536bf,APPROVED,2023-12-15T15:43:46.976000Z,2023-12-15T17:34:35.669000Z,2023-12-15T17:34:42.607000Z,2023-12-15T17:34:36.089752Z,6649.0,10ZZ93XE,117,English,33,Female,Asian,United States,United States,United States,English,No,Full-Time
657c7ffb80e1d674eadfb65d,610348f3b56120293b846b7b,APPROVED,2023-12-15T16:34:18.891000Z,2023-12-15T17:59:30.226000Z,2023-12-15T23:56:16.585000Z,2023-12-15T17:59:30.676617Z,5112.0,NOCODE,864,English,22,Male,Black,United States,United States,United States,English,No,Part-Time
657c940a624566442ebbf7c9,602c42fcd6ab3e5033c45951,APPROVED,2023-12-15T18:05:53.611000Z,2023-12-15T19:04:25.089000Z,2023-12-15T19:04:26.251000Z,2023-12-15T19:04:25.656210Z,3512.0,10ZZ93XE,1464,English,41,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
657c957e4cc12a14ebbf51b4,63d15e1be853005ff591b935,APPROVED,2023-12-15T18:05:54.659000Z,2023-12-15T19:13:32.180000Z,2023-12-15T19:13:32.771000Z,2023-12-15T19:13:32.651926Z,4058.0,10ZZ93XE,1870,English,44,Male,White,United States,United States,United States,English,No,Part-Time
657ca33a596e8a3993fd5f4a,5f6e2f793c9b1032dbe72def,APPROVED,2023-12-15T19:04:26.412000Z,2023-12-15T20:04:24.889000Z,2023-12-15T23:59:36.807000Z,2023-12-15T20:04:25.400038Z,3599.0,NOCODE,5082,English,43,Male,White,United States,United States,United States,English,No,Full-Time
657ca55d2832af573ef2c496,5f6067975552dc000aa21f2a,APPROVED,2023-12-15T19:13:33.171000Z,2023-12-15T21:20:57.328000Z,2023-12-15T23:59:39.439000Z,2023-12-15T21:20:57.846884Z,7645.0,NOCODE,3385,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657cb1490ca8f4d0aab03a47,63052f20afc39e87110eb83e,APPROVED,2023-12-15T20:04:25.396000Z,2023-12-15T22:24:06.704000Z,2023-12-15T22:33:13.981000Z,2023-12-15T22:24:07.196634Z,8382.0,NOCODE,1604,English,45,Male,Black,Barbados,United States,United States,English,No,Other
657cc33904a8b662a18d96aa,55a9f6a1fdf99b2d81b5295f,APPROVED,2023-12-15T21:20:57.699000Z,2023-12-15T22:34:43.653000Z,2023-12-15T22:34:44.828000Z,2023-12-15T22:34:44.155143Z,4426.0,10ZZ93XE,1875,English,DATA_EXPIRED,Female,White,United States,United States,United States,English,No,Other
657cd2065e2129e22597c311,63f77b9ca8439f6e1620c1cd,APPROVED,2023-12-15T22:24:06.763000Z,2023-12-15T23:20:48.289000Z,2023-12-15T23:20:49.706000Z,2023-12-15T23:20:49.973103Z,3402.0,10ZZ93XE,1731,English,38,Male,White,New Zealand,United States,United States,English,No,Full-Time
657c8e37f96c300e9d4573b9,5fefefa4c9707d3516361c9c,RETURNED,2023-12-15T17:34:51.630000Z,,,,,,6658,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
